username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,,,,,,
ZUHRI WAEL,WaelZuhri,4/3/2019 5:26,1,1,"Maaf Kalau Soal Tertawa Jangn MELARANG! Itu Budaya Rakyat Indonesia Dalam Candaan Asalkan Penuh Adab, Dtanah Maluku Pak JOKOWI Penuh Canda & Tawa Brsama Rakyat. Dari Maluku Jgn Psahkan Kami Dgn Pmimpin Kami Yg Merakyat Ini! # 01jokowiTheBest # 01IndonesiaMaju! # 01SenyumItuIBADAHpic.twitter.com/s1heE7WnPt",,,# # #,1.11321E+18,https://twitter.com/WaelZuhri/status/1113206108133285889,,,,,,
IamCinta,Iam_Cinta89,4/3/2019 4:47,21,62,"Solusi utk menanggulangi pertanian yaitu dg membangun waduk utk sumber irigasi Alhamdulillah, 4,5 thn @ Jokowi-JK ingin menjawabnya dgn bukti kerja nyata. Seperti membangun Waduk/Embung, Irigasi, membuka lahan baru @ Airin_NZ # NgawiNyoblosJokowiAminpic.twitter.com/7TSf6ue6lw",,@ @,#,1.1132E+18,https://twitter.com/Iam_Cinta89/status/1113196168278728704,,,,,,
Iskandar #02,kandargalang,4/3/2019 3:50,47,74,Kesihan Tim 01 promosi Kartu-Kartu Jokowi tdk laku di Sumbar.....menghadapi emak-emak dikampung saja udh kualahan mereka tdk mau dan tdk mudah ditipu....hingga relawan2 01 udah kehabisan argumen....apalagi didaerah2 perkotaan.. # 17AprilPilihPrabowoSandipic.twitter.com/DSIyEIn5OQ,,,#,1.11318E+18,https://twitter.com/kandargalang/status/1113181951957934080,,,,,,
Zulkifli Lubis,Zulkifllubis71,4/3/2019 3:21,891,1679,"Buahahaaaaaa ini kampanye terdahsyat yang pernah saya dengar .. TGB kampanye Senin, 2 April 2019 di NTB 2019 .... KALAH 2019 .... KALAH 2019 .... KALAH Bapak @ jokowi KALAH ... IYA... pic.twitter.com/FolFMEaJia",,@,,1.11317E+18,https://twitter.com/Zulkifllubis71/status/1113174737356697600,,,,,,
Agus Susanto II,Cobeh09,4/3/2019 3:07,245,402,#NAME?,2019," 2019 ??"" -Massa:""Kalaaaaah.."" -TGB:""Bapak Jokowi Kalah. Iyya. Tetapi Walaupun Di NTB Ini Beliau Kalah Telak", Namun Beliau Sebagai Pemimpin, Tetap Memberikan Perhatian Penuh Pada Nusa Tenggara Barat. Pada Kampanye 01 Lombok Timur, NTB. Senin," 2 April 2019 pic.twitter.com/GHFduznlWs""",,,,1.11317E+18,https://twitter.com/Cobeh09/status/1113171027406626818
MCAHacktivis,HacktivisMca,4/3/2019 1:23,12,31,Gw tunggu lu lu pade hack akun gw sampe pagi.. kalo pagi gw gak bisa akses gw akuin koDOG koDOG JOKOWI jago clonehacking.. laksana junjungannya yang bangga sama Industri digital 4.0 startup2 pemuja kapitalis angel investor Let's play the game babe.. # Ruh212 # MCAHacktivispic.twitter.com/LvY4vN3GJ6,,,# #,1.11314E+18,https://twitter.com/HacktivisMca/status/1113144893432508417,,,,,,
Relawan Tanfa Nama,relawantanam,4/3/2019 0:56,13,15,"Ryamizard Heran,Selama ini Jokowi selalu di serang dan di tuduh PKI. Padahal bekerja selama 4 tahun Jokowi pemimpin yang sederhana","Jujur dan Tidak KKN. Ingat Jujur Ingat Jokowi # JokowiTerbuktiBersih # LombokJokowiAminpic.twitter.com/159ydcneJ7""",,,# #,1.11314E+18,https://twitter.com/relawantanam/status/1113138069249507328,,,,,
Penyair Radikal,DatuakPanduko,4/3/2019 0:35,378,458,Partai jokowi.. Blunder.. 17 april makin dikit umat islam milih jokowi.. Palingan 17 april 2019 Jokowi tinggal.20% PDIP: Buat Kami Tidak Ada Namanya Perda Syariah http://detik.id/VlQEjS,,,,1.11313E+18,https://twitter.com/DatuakPanduko/status/1113132887971250176,,,,,,
Rexy Ambarwati,AmbarwatiRexy,4/3/2019 0:34,136,328,"Yang sebel sama pak Jokowi silakan coblos idungnya ntar tanggal 17 yak. Jangan coblos muka pak Prabowo ato Mas Uno. Sayang. Ntar gantengnya ilang... Maaf, saya nyoblos duluan. Kejar jam tayang pic.twitter.com/7woOGvFAwE",,,,1.11313E+18,https://twitter.com/AmbarwatiRexy/status/1113132633821732864,,,,,,
Nowowo🇮🇩#88,CoretPdipilpres,4/2/2019 23:56,111,178,Saya Ahlinya ahli Saya Intinya inti Saya TNI lebih dari TNI makanya Saya Tuli lebih dari Tuli.. # PecatanLebihTNIdariTNI pilih @ jokowi # 17AprilCoblosJokowiAmin # JokoWIN17April # JokowiMengubahSemuapic.twitter.com/Cvku5no2pb,,@,# # # #,1.11312E+18,https://twitter.com/CoretPdipilpres/status/1113122979884351488,,,,,,
